Name,Type_1,Type_2,HP,Attack,Defense,Speed,isLegendary,Color,Egg_Group_1,hasMegaEvolution
Growlithe,Fire,,55,70,45,60,No,Brown,Field,No
Arcanine,Fire,,90,110,80,95,No,Brown,Field,No
Poliwag,Water,,40,50,40,90,No,Blue,Water_1,No
Poliwhirl,Water,,65,65,65,90,No,Blue,Water_1,No
Poliwrath,Water,Fighting,90,95,95,70,No,Blue,Water_1,No
Abra,Psychic,,25,20,15,90,No,Brown,Human-Like,No
Kadabra,Psychic,,40,35,30,105,No,Brown,Human-Like,No
Alakazam,Psychic,,55,50,45,120,No,Brown,Human-Like,Yes
Machop,Fighting,,70,80,50,35,No,Grey,Human-Like,No
Machoke,Fighting,,80,100,70,45,No,Grey,Human-Like,No
Machamp,Fighting,,90,130,80,55,No,Grey,Human-Like,No
Bellsprout,Grass,Poison,50,75,35,40,No,Green,Grass,No
Weepinbell,Grass,Poison,65,90,50,55,No,Green,Grass,No
Victreebel,Grass,Poison,80,105,65,70,No,Green,Grass,No
Tentacool,Water,Poison,40,40,35,70,No,Blue,Water_3,No
Tentacruel,Water,Poison,80,70,65,100,No,Blue,Water_3,No
Geodude,Rock,Ground,40,80,100,20,No,Brown,Mineral,No
Graveler,Rock,Ground,55,95,115,35,No,Brown,Mineral,No
Golem,Rock,Ground,80,120,130,45,No,Brown,Mineral,No
Ponyta,Fire,,50,85,55,90,No,Yellow,Field,No
Rapidash,Fire,,65,100,70,105,No,Yellow,Field,No
Slowpoke,Water,Psychic,90,65,65,15,No,Pink,Monster,No
Slowbro,Water,Psychic,95,75,110,30,No,Pink,Monster,Yes
Magnemite,Electric,Steel,25,35,70,45,No,Grey,Mineral,No
Magneton,Electric,Steel,50,60,95,70,No,Grey,Mineral,No
Farfetch'd,Normal,Flying,52,65,55,60,No,Brown,Flying,No
Doduo,Normal,Flying,35,85,45,75,No,Brown,Flying,No
Dodrio,Normal,Flying,60,110,70,100,No,Brown,Flying,No
Seel,Water,,65,45,55,45,No,White,Water_1,No
Dewgong,Water,Ice,90,70,80,70,No,White,Water_1,No
Grimer,Poison,,80,80,50,25,No,Purple,Amorphous,No
Muk,Poison,,105,105,75,50,No,Purple,Amorphous,No
Shellder,Water,,30,65,100,40,No,Purple,Water_3,No
Cloyster,Water,Ice,50,95,180,70,No,Purple,Water_3,No
Gastly,Ghost,Poison,30,35,30,80,No,Purple,Amorphous,No
Haunter,Ghost,Poison,45,50,45,95,No,Purple,Amorphous,No
Gengar,Ghost,Poison,60,65,60,110,No,Purple,Amorphous,Yes
Onix,Rock,Ground,35,45,160,70,No,Grey,Mineral,No
Drowzee,Psychic,,60,48,45,42,No,Yellow,Human-Like,No
Hypno,Psychic,,85,73,70,67,No,Yellow,Human-Like,No
Krabby,Water,,30,105,90,50,No,Red,Water_3,No
Kingler,Water,,55,130,115,75,No,Red,Water_3,No
Voltorb,Electric,,40,30,50,100,No,Red,Mineral,No
Electrode,Electric,,60,50,70,140,No,Red,Mineral,No
Exeggcute,Grass,Psychic,60,40,80,40,No,Pink,Grass,No
Exeggutor,Grass,Psychic,95,95,85,55,No,Yellow,Grass,No
Cubone,Ground,,50,50,95,35,No,Brown,Monster,No
Marowak,Ground,,60,80,110,45,No,Brown,Monster,No
Hitmonlee,Fighting,,50,120,53,87,No,Brown,Human-Like,No
Hitmonchan,Fighting,,50,105,79,76,No,Brown,Human-Like,No
Lickitung,Normal,,90,55,75,30,No,Pink,Monster,No
Koffing,Poison,,40,65,95,35,No,Purple,Amorphous,No
Weezing,Poison,,65,90,120,60,No,Purple,Amorphous,No
Rhyhorn,Ground,Rock,80,85,95,25,No,Grey,Monster,No
Rhydon,Ground,Rock,105,130,120,40,No,Grey,Monster,No
Chansey,Normal,,250,5,5,50,No,Pink,Fairy,No
Tangela,Grass,,65,55,115,60,No,Blue,Grass,No
Kangaskhan,Normal,,105,95,80,90,No,Brown,Monster,Yes
Horsea,Water,,30,40,70,60,No,Blue,Water_1,No
Seadra,Water,,55,65,95,85,No,Blue,Water_1,No
Goldeen,Water,,45,67,60,63,No,Red,Water_2,No
Seaking,Water,,80,92,65,68,No,Red,Water_2,No
Staryu,Water,,30,45,55,85,No,Brown,Water_3,No
Starmie,Water,Psychic,60,75,85,115,No,Purple,Water_3,No
Mr._Mime,Psychic,Fairy,40,45,65,90,No,Pink,Human-Like,No
Scyther,Bug,Flying,70,110,80,105,No,Green,Bug,No
Jynx,Ice,Psychic,65,50,35,95,No,Red,Human-Like,No
Electabuzz,Electric,,65,83,57,105,No,Yellow,Human-Like,No
Magmar,Fire,,65,95,57,93,No,Red,Human-Like,No
Pinsir,Bug,,65,125,100,85,No,Brown,Bug,Yes
Tauros,Normal,,75,100,95,110,No,Brown,Field,No
Magikarp,Water,,20,10,55,80,No,Red,Water_2,No
Gyarados,Water,Flying,95,125,79,81,No,Blue,Water_2,Yes
Lapras,Water,Ice,130,85,80,60,No,Blue,Monster,No
Ditto,Normal,,48,48,48,48,No,Purple,Ditto,No
Eevee,Normal,,55,55,50,55,No,Brown,Field,No
Vaporeon,Water,,130,65,60,65,No,Blue,Field,No
Jolteon,Electric,,65,65,60,130,No,Yellow,Field,No
Flareon,Fire,,65,130,60,65,No,Red,Field,No
Porygon,Normal,,65,60,70,40,No,Pink,Mineral,No
Omanyte,Rock,Water,35,40,100,35,No,Blue,Water_1,No
Omastar,Rock,Water,70,60,125,55,No,Blue,Water_1,No
Kabuto,Rock,Water,30,80,90,55,No,Brown,Water_1,No
Kabutops,Rock,Water,60,115,105,80,No,Brown,Water_1,No
Aerodactyl,Rock,Flying,80,105,65,130,No,Purple,Flying,Yes
Snorlax,Normal,,160,110,65,30,No,Black,Monster,No
Articuno,Ice,Flying,90,85,100,85,Yes,Blue,Undiscovered,No
Zapdos,Electric,Flying,90,90,85,100,Yes,Yellow,Undiscovered,No
Moltres,Fire,Flying,90,100,90,90,Yes,Yellow,Undiscovered,No
Dratini,Dragon,,41,64,45,50,No,Blue,Water_1,No
Dragonair,Dragon,,61,84,65,70,No,Blue,Water_1,No
Dragonite,Dragon,Flying,91,134,95,80,No,Brown,Water_1,No
Mewtwo,Psychic,,106,110,90,130,Yes,Purple,Undiscovered,Yes
Mew,Psychic,,100,100,100,100,No,Pink,Undiscovered,No
Chikorita,Grass,,45,49,65,45,No,Green,Monster,No
Bayleef,Grass,,60,62,80,60,No,Green,Monster,No
Meganium,Grass,,80,82,100,80,No,Green,Monster,No
Cyndaquil,Fire,,39,52,43,65,No,Yellow,Field,No
Quilava,Fire,,58,64,58,80,No,Yellow,Field,No
Typhlosion,Fire,,78,84,78,100,No,Yellow,Field,No
Totodile,Water,,50,65,64,43,No,Blue,Monster,No
Croconaw,Water,,65,80,80,58,No,Blue,Monster,No
Feraligatr,Water,,85,105,100,78,No,Blue,Monster,No
Sentret,Normal,,35,46,34,20,No,Brown,Field,No
Furret,Normal,,85,76,64,90,No,Brown,Field,No
Hoothoot,Normal,Flying,60,30,30,50,No,Brown,Flying,No
Noctowl,Normal,Flying,100,50,50,70,No,Brown,Flying,No
Ledyba,Bug,Flying,40,20,30,55,No,Red,Bug,No
Ledian,Bug,Flying,55,35,50,85,No,Red,Bug,No
Spinarak,Bug,Poison,40,60,40,30,No,Green,Bug,No
Ariados,Bug,Poison,70,90,70,40,No,Red,Bug,No
Crobat,Poison,Flying,85,90,80,130,No,Purple,Flying,No
Chinchou,Water,Electric,75,38,38,67,No,Blue,Water_2,No
Lanturn,Water,Electric,125,58,58,67,No,Blue,Water_2,No
Pichu,Electric,,20,40,15,60,No,Yellow,Undiscovered,No
Cleffa,Fairy,,50,25,28,15,No,Pink,Undiscovered,No
Igglybuff,Normal,Fairy,90,30,15,15,No,Pink,Undiscovered,No
Togepi,Fairy,,35,20,65,20,No,White,Undiscovered,No
Togetic,Fairy,Flying,55,40,85,40,No,White,Flying,No
Natu,Psychic,Flying,40,50,45,70,No,Green,Flying,No
Xatu,Psychic,Flying,65,75,70,95,No,Green,Flying,No
Mareep,Electric,,55,40,40,35,No,White,Monster,No
Flaaffy,Electric,,70,55,55,45,No,Pink,Monster,No
Ampharos,Electric,,90,75,85,55,No,Yellow,Monster,Yes
Bellossom,Grass,,75,80,95,50,No,Green,Grass,No
Marill,Water,Fairy,70,20,50,40,No,Blue,Water_1,No
Azumarill,Water,Fairy,100,50,80,50,No,Blue,Water_1,No
Sudowoodo,Rock,,70,100,115,30,No,Brown,Mineral,No
Politoed,Water,,90,75,75,70,No,Green,Water_1,No
Hoppip,Grass,Flying,35,35,40,50,No,Pink,Fairy,No
Skiploom,Grass,Flying,55,45,50,80,No,Green,Fairy,No
Jumpluff,Grass,Flying,75,55,70,110,No,Blue,Fairy,No
Aipom,Normal,,55,70,55,85,No,Purple,Field,No
Sunkern,Grass,,30,30,30,30,No,Yellow,Grass,No
Sunflora,Grass,,75,75,55,30,No,Yellow,Grass,No
Yanma,Bug,Flying,65,65,45,95,No,Red,Bug,No
Wooper,Water,Ground,55,45,45,15,No,Blue,Water_1,No
Quagsire,Water,Ground,95,85,85,35,No,Blue,Water_1,No
Espeon,Psychic,,65,65,60,110,No,Purple,Field,No
Umbreon,Dark,,95,65,110,65,No,Black,Field,No
Murkrow,Dark,Flying,60,85,42,91,No,Black,Flying,No
Slowking,Water,Psychic,95,75,80,30,No,Pink,Monster,No
Misdreavus,Ghost,,60,60,60,85,No,Purple,Amorphous,No
Unown,Psychic,,48,72,48,48,No,Black,Undiscovered,No
Wobbuffet,Psychic,,190,33,58,33,No,Blue,Amorphous,No
Girafarig,Normal,Psychic,70,80,65,85,No,Yellow,Field,No
Pineco,Bug,,50,65,90,15,No,Grey,Bug,No
Forretress,Bug,Steel,75,90,140,40,No,Purple,Bug,No
Dunsparce,Normal,,100,70,70,45,No,Yellow,Field,No
Gligar,Ground,Flying,65,75,105,85,No,Purple,Bug,No
Steelix,Steel,Ground,75,85,200,30,No,Grey,Mineral,Yes
Snubbull,Fairy,,60,80,50,30,No,Pink,Field,No
Granbull,Fairy,,90,120,75,45,No,Purple,Field,No
Qwilfish,Water,Poison,65,95,75,85,No,Grey,Water_2,No
Scizor,Bug,Steel,70,130,100,65,No,Red,Bug,Yes
Shuckle,Bug,Rock,20,10,230,5,No,Yellow,Bug,No
Heracross,Bug,Fighting,80,125,75,85,No,Blue,Bug,Yes
Sneasel,Dark,Ice,55,95,55,115,No,Black,Field,No
Teddiursa,Normal,,60,80,50,40,No,Brown,Field,No
Ursaring,Normal,,90,130,75,55,No,Brown,Field,No
Slugma,Fire,,40,40,40,20,No,Red,Amorphous,No
Magcargo,Fire,Rock,50,50,120,30,No,Red,Amorphous,No
Swinub,Ice,Ground,50,50,40,50,No,Brown,Field,No
Piloswine,Ice,Ground,100,100,80,50,No,Brown,Field,No
Corsola,Water,Rock,55,55,85,35,No,Pink,Water_1,No
Remoraid,Water,,35,65,35,65,No,Grey,Water_1,No
Octillery,Water,,75,105,75,45,No,Red,Water_1,No
Delibird,Ice,Flying,45,55,45,75,No,Red,Water_1,No
Mantine,Water,Flying,65,40,70,70,No,Purple,Water_1,No
Skarmory,Steel,Flying,65,80,140,70,No,Grey,Flying,No
Houndour,Dark,Fire,45,60,30,65,No,Black,Field,No
Houndoom,Dark,Fire,75,90,50,95,No,Black,Field,Yes
Kingdra,Water,Dragon,75,95,95,85,No,Blue,Water_1,No
Phanpy,Ground,,90,60,60,40,No,Blue,Field,No
Donphan,Ground,,90,120,120,50,No,Grey,Field,No
Porygon2,Normal,,85,80,90,60,No,Red,Mineral,No
Stantler,Normal,,73,95,62,85,No,Brown,Field,No
Smeargle,Normal,,55,20,35,75,No,White,Field,No
Tyrogue,Fighting,,35,35,35,35,No,Purple,Undiscovered,No
Hitmontop,Fighting,,50,95,95,70,No,Brown,Human-Like,No
Smoochum,Ice,Psychic,45,30,15,65,No,Pink,Undiscovered,No
Elekid,Electric,,45,63,37,95,No,Yellow,Undiscovered,No
Magby,Fire,,45,75,37,83,No,Red,Undiscovered,No
Miltank,Normal,,95,80,105,100,No,Pink,Field,No
Blissey,Normal,,255,10,10,55,No,Pink,Fairy,No
Raikou,Electric,,90,85,75,115,Yes,Yellow,Undiscovered,No
Entei,Fire,,115,115,85,100,Yes,Brown,Undiscovered,No
Suicune,Water,,100,75,115,85,Yes,Blue,Undiscovered,No
Larvitar,Rock,Ground,50,64,50,41,No,Green,Monster,No
Pupitar,Rock,Ground,70,84,70,51,No,Grey,Monster,No
Tyranitar,Rock,Dark,100,134,110,61,No,Green,Monster,Yes
Lugia,Psychic,Flying,106,90,130,110,Yes,White,Undiscovered,No
Ho-Oh,Fire,Flying,106,130,90,90,Yes,Red,Undiscovered,No
Celebi,Psychic,Grass,100,100,100,100,No,Green,Undiscovered,No
Treecko,Grass,,40,45,35,70,No,Green,Monster,No
Grovyle,Grass,,50,65,45,95,No,Green,Monster,No
Sceptile,Grass,,70,85,65,120,No,Green,Monster,Yes
Torchic,Fire,,45,60,40,45,No,Red,Field,No
Combusken,Fire,Fighting,60,85,60,55,No,Red,Field,No
Blaziken,Fire,Fighting,80,120,70,80,No,Red,Field,Yes
Mudkip,Water,,50,70,50,40,No,Blue,Monster,No
Marshtomp,Water,Ground,70,85,70,50,No,Blue,Monster,No
Swampert,Water,Ground,100,110,90,60,No,Blue,Monster,Yes
Poochyena,Dark,,35,55,35,35,No,Grey,Field,No
Mightyena,Dark,,70,90,70,70,No,Grey,Field,No
Zigzagoon,Normal,,38,30,41,60,No,Brown,Field,No
Linoone,Normal,,78,70,61,100,No,White,Field,No
Wurmple,Bug,,45,45,35,20,No,Red,Bug,No
Silcoon,Bug,,50,35,55,15,No,White,Bug,No
Beautifly,Bug,Flying,60,70,50,65,No,Yellow,Bug,No
Cascoon,Bug,,50,35,55,15,No,Purple,Bug,No
Dustox,Bug,Poison,60,50,70,65,No,Green,Bug,No
Lotad,Water,Grass,40,30,30,30,No,Green,Water_1,No
Lombre,Water,Grass,60,50,50,50,No,Green,Water_1,No
Ludicolo,Water,Grass,80,70,70,70,No,Green,Water_1,No
Seedot,Grass,,40,40,50,30,No,Brown,Field,No
Nuzleaf,Grass,Dark,70,70,40,60,No,Brown,Field,No
Shiftry,Grass,Dark,90,100,60,80,No,Brown,Field,No
Taillow,Normal,Flying,40,55,30,85,No,Blue,Flying,No
Swellow,Normal,Flying,60,85,60,125,No,Blue,Flying,No
Wingull,Water,Flying,40,30,30,85,No,White,Water_1,No
Pelipper,Water,Flying,60,50,100,65,No,Yellow,Water_1,No
Ralts,Psychic,Fairy,28,25,25,40,No,White,Amorphous,No
Kirlia,Psychic,Fairy,38,35,35,50,No,White,Amorphous,No
Gardevoir,Psychic,Fairy,68,65,65,80,No,White,Amorphous,Yes
Surskit,Bug,Water,40,30,32,65,No,Blue,Water_1,No
Masquerain,Bug,Flying,70,60,62,60,No,Blue,Water_1,No
Shroomish,Grass,,60,40,60,35,No,Brown,Fairy,No
Breloom,Grass,Fighting,60,130,80,70,No,Green,Fairy,No
Slakoth,Normal,,60,60,60,30,No,Brown,Field,No
Vigoroth,Normal,,80,80,80,90,No,White,Field,No
Slaking,Normal,,150,160,100,100,No,Brown,Field,No
Nincada,Bug,Ground,31,45,90,40,No,Grey,Bug,No
Ninjask,Bug,Flying,61,90,45,160,No,Yellow,Bug,No
Shedinja,Bug,Ghost,1,90,45,40,No,Brown,Mineral,No
Whismur,Normal,,64,51,23,28,No,Pink,Monster,No
Loudred,Normal,,84,71,43,48,No,Blue,Monster,No
Exploud,Normal,,104,91,63,68,No,Blue,Monster,No
Makuhita,Fighting,,72,60,30,25,No,Yellow,Human-Like,No
Hariyama,Fighting,,144,120,60,50,No,Brown,Human-Like,No
Azurill,Normal,Fairy,50,20,40,20,No,Blue,Undiscovered,No
Nosepass,Rock,,30,45,135,30,No,Grey,Mineral,No
Skitty,Normal,,50,45,45,50,No,Pink,Field,No
Delcatty,Normal,,70,65,65,70,No,Purple,Field,No
Sableye,Dark,Ghost,50,75,75,50,No,Purple,Human-Like,Yes
Mawile,Steel,Fairy,50,85,85,50,No,Black,Field,Yes
Aron,Steel,Rock,50,70,100,30,No,Grey,Monster,No
Lairon,Steel,Rock,60,90,140,40,No,Grey,Monster,No
Aggron,Steel,Rock,70,110,180,50,No,Grey,Monster,Yes
Meditite,Fighting,Psychic,30,40,55,60,No,Blue,Human-Like,No
Medicham,Fighting,Psychic,60,60,75,80,No,Red,Human-Like,Yes
Electrike,Electric,,40,45,40,65,No,Green,Field,No
Manectric,Electric,,70,75,60,105,No,Yellow,Field,Yes
Plusle,Electric,,60,50,40,95,No,Yellow,Fairy,No
Minun,Electric,,60,40,50,95,No,Yellow,Fairy,No
Volbeat,Bug,,65,73,55,85,No,Grey,Bug,No
Illumise,Bug,,65,47,55,85,No,Purple,Bug,No
Roselia,Grass,Poison,50,60,45,65,No,Green,Fairy,No
Gulpin,Poison,,70,43,53,40,No,Green,Amorphous,No
Swalot,Poison,,100,73,83,55,No,Purple,Amorphous,No
Carvanha,Water,Dark,45,90,20,65,No,Red,Water_2,No
Sharpedo,Water,Dark,70,120,40,95,No,Blue,Water_2,Yes
Wailmer,Water,,130,70,35,60,No,Blue,Field,No
Wailord,Water,,170,90,45,60,No,Blue,Field,No
Numel,Fire,Ground,60,60,40,35,No,Yellow,Field,No
Camerupt,Fire,Ground,70,100,70,40,No,Red,Field,Yes
Torkoal,Fire,,70,85,140,20,No,Brown,Field,No
Spoink,Psychic,,60,25,35,60,No,Black,Field,No
Grumpig,Psychic,,80,45,65,80,No,Purple,Field,No
Spinda,Normal,,60,60,60,60,No,Brown,Field,No
Trapinch,Ground,,45,100,45,10,No,Brown,Bug,No
Vibrava,Ground,Dragon,50,70,50,70,No,Green,Bug,No
Flygon,Ground,Dragon,80,100,80,100,No,Green,Bug,No
Cacnea,Grass,,50,85,40,35,No,Green,Grass,No
Cacturne,Grass,Dark,70,115,60,55,No,Green,Grass,No
Swablu,Normal,Flying,45,40,60,50,No,Blue,Flying,No
Altaria,Dragon,Flying,75,70,90,80,No,Blue,Flying,Yes
Zangoose,Normal,,73,115,60,90,No,White,Field,No
Seviper,Poison,,73,100,60,65,No,Black,Field,No
Lunatone,Rock,Psychic,70,55,65,70,No,Yellow,Mineral,No
Solrock,Rock,Psychic,70,95,85,70,No,Red,Mineral,No
Barboach,Water,Ground,50,48,43,60,No,Grey,Water_2,No
Whiscash,Water,Ground,110,78,73,60,No,Blue,Water_2,No
Corphish,Water,,43,80,65,35,No,Red,Water_1,No
Crawdaunt,Water,Dark,63,120,85,55,No,Red,Water_1,No
Baltoy,Ground,Psychic,40,40,55,55,No,Brown,Mineral,No
Claydol,Ground,Psychic,60,70,105,75,No,Black,Mineral,No
Lileep,Rock,Grass,66,41,77,23,No,Purple,Water_3,No
Cradily,Rock,Grass,86,81,97,43,No,Green,Water_3,No
Anorith,Rock,Bug,45,95,50,75,No,Grey,Water_3,No
Armaldo,Rock,Bug,75,125,100,45,No,Grey,Water_3,No
Feebas,Water,,20,15,20,80,No,Brown,Water_1,No
Milotic,Water,,95,60,79,81,No,Pink,Water_1,No
Castform,Normal,,70,70,70,70,No,White,Fairy,No
Kecleon,Normal,,60,90,70,40,No,Green,Field,No
Shuppet,Ghost,,44,75,35,45,No,Black,Amorphous,No
Banette,Ghost,,64,115,65,65,No,Black,Amorphous,Yes
Duskull,Ghost,,20,40,90,25,No,Black,Amorphous,No
Dusclops,Ghost,,40,70,130,25,No,Black,Amorphous,No
Tropius,Grass,Flying,99,68,83,51,No,Green,Monster,No
Chimecho,Psychic,,65,50,70,65,No,Blue,Amorphous,No
Absol,Dark,,65,130,60,75,No,White,Field,Yes
Wynaut,Psychic,,95,23,48,23,No,Blue,Undiscovered,No
Snorunt,Ice,,50,50,50,50,No,Grey,Fairy,No
Glalie,Ice,,80,80,80,80,No,Grey,Fairy,Yes
Spheal,Ice,Water,70,40,50,25,No,Blue,Water_1,No
Sealeo,Ice,Water,90,60,70,45,No,Blue,Water_1,No
Walrein,Ice,Water,110,80,90,65,No,Blue,Water_1,No
Clamperl,Water,,35,64,85,32,No,Blue,Water_1,No
Huntail,Water,,55,104,105,52,No,Blue,Water_1,No
Gorebyss,Water,,55,84,105,52,No,Pink,Water_1,No
Relicanth,Water,Rock,100,90,130,55,No,Grey,Water_1,No
Luvdisc,Water,,43,30,55,97,No,Pink,Water_2,No
Bagon,Dragon,,45,75,60,50,No,Blue,Dragon,No
Shelgon,Dragon,,65,95,100,50,No,White,Dragon,No
Salamence,Dragon,Flying,95,135,80,100,No,Blue,Dragon,Yes
Beldum,Steel,Psychic,40,55,80,30,No,Blue,Mineral,No
Metang,Steel,Psychic,60,75,100,50,No,Blue,Mineral,No
Metagross,Steel,Psychic,80,135,130,70,No,Blue,Mineral,Yes
Regirock,Rock,,80,100,200,50,Yes,Brown,Undiscovered,No
Regice,Ice,,80,50,100,50,Yes,Blue,Undiscovered,No
Registeel,Steel,,80,75,150,50,Yes,Grey,Undiscovered,No
Latias,Dragon,Psychic,80,80,90,110,Yes,Red,Undiscovered,Yes
Latios,Dragon,Psychic,80,90,80,110,Yes,Blue,Undiscovered,Yes
Kyogre,Water,,100,100,90,90,Yes,Blue,Undiscovered,No
Groudon,Ground,,100,150,140,90,Yes,Red,Undiscovered,No
Rayquaza,Dragon,Flying,105,150,90,95,Yes,Green,Undiscovered,Yes
Jirachi,Steel,Psychic,100,100,100,100,Yes,Yellow,Undiscovered,No
Deoxys,Psychic,,50,150,50,150,Yes,Red,Undiscovered,No
Turtwig,Grass,,55,68,64,31,No,Green,Monster,No
Grotle,Grass,,75,89,85,36,No,Green,Monster,No
Torterra,Grass,Ground,95,109,105,56,No,Green,Monster,No
Chimchar,Fire,,44,58,44,61,No,Brown,Field,No
Monferno,Fire,Fighting,64,78,52,81,No,Brown,Field,No
Infernape,Fire,Fighting,76,104,71,108,No,Brown,Field,No
Piplup,Water,,53,51,53,40,No,Blue,Water_1,No
Prinplup,Water,,64,66,68,50,No,Blue,Water_1,No
Empoleon,Water,Steel,84,86,88,60,No,Blue,Water_1,No
Starly,Normal,Flying,40,55,30,60,No,Brown,Flying,No
Staravia,Normal,Flying,55,75,50,80,No,Brown,Flying,No
Staraptor,Normal,Flying,85,120,70,100,No,Brown,Flying,No
Bidoof,Normal,,59,45,40,31,No,Brown,Water_1,No
Bibarel,Normal,Water,79,85,60,71,No,Brown,Water_1,No
Kricketot,Bug,,37,25,41,25,No,Red,Bug,No
Kricketune,Bug,,77,85,51,65,No,Red,Bug,No
Shinx,Electric,,45,65,34,45,No,Blue,Field,No
Luxio,Electric,,60,85,49,60,No,Blue,Field,No
Luxray,Electric,,80,120,79,70,No,Blue,Field,No
Budew,Grass,Poison,40,30,35,55,No,Green,Undiscovered,No
Roserade,Grass,Poison,60,70,65,90,No,Green,Fairy,No
Cranidos,Rock,,67,125,40,58,No,Blue,Monster,No
Rampardos,Rock,,97,165,60,58,No,Blue,Monster,No
Shieldon,Rock,Steel,30,42,118,30,No,Grey,Monster,No
Bastiodon,Rock,Steel,60,52,168,30,No,Grey,Monster,No
Burmy,Bug,,40,29,45,36,No,Grey,Bug,No
Wormadam,Bug,Grass,60,59,85,36,No,Grey,Bug,No
Mothim,Bug,Flying,70,94,50,66,No,Yellow,Bug,No
Combee,Bug,Flying,30,30,42,70,No,Yellow,Bug,No
Vespiquen,Bug,Flying,70,80,102,40,No,Yellow,Bug,No
Pachirisu,Electric,,60,45,70,95,No,White,Field,No
Buizel,Water,,55,65,35,85,No,Brown,Water_1,No
Floatzel,Water,,85,105,55,115,No,Brown,Water_1,No
Cherubi,Grass,,45,35,45,35,No,Pink,Fairy,No
Cherrim,Grass,,70,60,70,85,No,Pink,Fairy,No
Shellos,Water,,76,48,48,34,No,Purple,Water_1,No
Gastrodon,Water,Ground,111,83,68,39,No,Purple,Water_1,No
Ambipom,Normal,,75,100,66,115,No,Purple,Field,No
Drifloon,Ghost,Flying,90,50,34,70,No,Purple,Amorphous,No
Drifblim,Ghost,Flying,150,80,44,80,No,Purple,Amorphous,No
Buneary,Normal,,55,66,44,85,No,Brown,Field,No
Lopunny,Normal,,65,76,84,105,No,Brown,Field,Yes
Mismagius,Ghost,,60,60,60,105,No,Purple,Amorphous,No
